"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
0.5,"indep",10,10,-1.84443972705697,-0.702215056105086,-0.905894269173549,1.14222467095188,0.938545457883419,3.16025365515444,0.350146428441986,260.097658793231,-60.1022820079267,1.29902366355252,1.31969717068653,0.596153846153846,0.519230769230769,649091,520000,0.0866348296958956,0.129911964595972,0.830694849465916,0.0142966504119403,0.0680433173497451,0.0692862203964319,0.48,0.48,0.649091
0.6,"indep",10,10,-1.26286432215413,-0.746403656542946,-0.952065822886201,0.516460665611182,0.310798499267927,2.94858539895967,0.364842097737633,271.785876886968,-53.9972153153425,0.766641903028375,0.935953405837745,0.827586206896552,0.758620689655172,723408,580000,0.075044803968874,0.116935510098371,0.701992920805402,0.0114538953744384,0.0495996518777984,0.0561886199795989,0.42,0.42,0.723408
0.7,"indep",10,10,-0.965510768280782,-0.602297950976244,-0.748382033695996,0.363212817304537,0.217128734584785,2.08626486893957,0.338519286826163,151.401870272677,-59.2072976454192,0.69091731868567,0.930037958162782,0.840579710144927,0.797101449275362,869711,690000,0.0712744478804927,0.10966699033097,0.56939179616162,0.0117453625163489,0.0440693559174589,0.0484140847931134,0.31,0.31,0.869711
0.8,"indep",10,10,-0.757063866314888,-0.575520961283793,-0.726818405358865,0.181542905031095,0.0302454609560225,2.48700589337503,0.325942699198665,215.052239635318,-58.7097973314552,0.628857680723297,0.883053957279324,0.813333333333333,0.746666666666667,962057,750000,0.0699907480601616,0.102592707156005,0.619516451913403,0.012362070043421,0.0449921803905556,0.0502202556153797,0.25,0.25,0.962057
0.9,"indep",10,10,-0.593721751187363,-0.573336546354968,-0.734790725579887,0.0203852048323944,-0.141068974392525,2.71125911216416,0.325701784107025,185.426472295496,-65.7119045387689,0.640064499989525,0.978580526735087,0.935897435897436,0.782051282051282,998774,780000,0.0729051160240329,0.11035476391655,0.640020045593947,0.0120263894823848,0.0277334902095941,0.046746325002028,0.22,0.22,0.998774
1,"indep",10,10,-0.458145365937078,-0.357004616261262,-0.398431482630037,0.101140749675816,0.0597138833070409,0.943446064803878,0.29522567127554,167.226267340917,-16.3788401888358,0.455557193506165,0.593805688120932,0.863636363636364,0.863636363636364,1158788,880000,0.0476219433278867,0.0633399374099301,0.274989717931731,0.0107199131131398,0.0365825024992268,0.0365825024992268,0.12,0.12,1.158788
1.2,"indep",10,10,-0.2390179004715,-0.245239376604114,-0.274443131989095,-0.00622147613261362,-0.0354252315175952,0.673951315701157,0.264618126997602,101.39195847914,-20.9260942095119,0.451608616269252,0.576523146502548,0.968421052631579,0.947368421052632,1286028,950000,0.0465754518854473,0.0593514587306728,0.216989450806555,0.0110348939254339,0.0179419289731956,0.0229097763192635,0.05,0.05,1.286028
1.4,"indep",10,10,-0.0639166857549427,-0.131575836801263,-0.139242641948474,-0.06765915104632,-0.0753259561935317,0.390071249416635,0.240480684157821,48.814198915712,-8.25537534189181,0.44926251028767,0.514897032517095,0.918367346938776,0.908163265306122,1334097,980000,0.0450954363052804,0.051717407627766,0.0809302867488235,0.0114718317334299,0.0276584051909771,0.0291727348340955,0.02,0.02,1.334097
1.6,"indep",10,10,0.0827572192387867,0.0511957903538811,0.0651565144363207,-0.0315614288849055,-0.0176007048024659,0.20075437614147,0.194445326786179,25.3406607596795,21.4016162907295,0.384338456150932,0.398591413388856,0.89,0.92,1400033,1e+06,0.0384970056664814,0.0400208695580146,0.0209664521705723,0.010203493843281,0.031288975694324,0.0271293199325011,0,0,1.400033
1.8,"indep",10,10,0.209355167429093,0.202976095587924,0.21332370628659,-0.0063790718411689,0.00396853885749748,0.214770949526761,0.153289717348345,34.3855708075579,-4.08420594043279,0.368536294153338,0.39778706763895,0.93,0.95,1425950,1e+06,0.0370337421288733,0.0399771149029157,0.0851446512502807,0.00874448507331136,0.0255147016443461,0.0217944947177034,0,0,1.42595
