"theta","design","n1","n2","rho","true_lnM","true_var_delta","true_var_safe","replicates","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","med_var_delta","med_var_safe","trim_var_delta","trim_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total"
1.5,"indep",20,20,0,0.0361603307898131,0.0744028001457035,0.0837439209105581,999,0.0334258252131932,0.0169205291025341,-0.00273450557661985,-0.019239801687279,0.076899572419032,0.0914561410904802,0.0622917801099128,0.0735330722998863,0.066759195082935,0.081190343935357,-10.2732760699865,-3.04926846920436,0.272645924944843,0.286793988753953,0.940940940940941,0.948948948948949,14888475,9990000
2,"indep",20,20,0,0.333914686287828,0.044696622967432,0.048437010086682,1000,0.320541663097348,0.318191474479259,-0.0133730231904802,-0.0157232118085685,0.0444254879502889,0.0511010554460703,0.0406529726468932,0.0456628931319468,0.0420182172691164,0.0473714316291512,-5.99241177631524,-2.19992616312173,0.211732765753715,0.220535240871323,0.95,0.959,14966601,1e+07
3,"indep",20,20,0,0.746452048089074,0.0263532980325972,0.0270718373569006,1000,0.751774840783746,0.759921868070806,0.00532279269467206,0.0134698199817319,0.025412454407937,0.0286293213547072,0.0248067326145774,0.0279573240823738,0.0250446255071574,0.028213311716453,-4.96587760598692,4.21646430755265,0.162343083796739,0.165003641080686,0.943,0.954,14969379,1e+07
4,"indep",20,20,0,1.03658596433312,0.0207330293968789,0.0210244837332149,1000,1.04043062828456,1.05153844764626,0.00384466395143734,0.0149524833131383,0.0199020594249929,0.0228312585236843,0.0196221727920894,0.0224965891562617,0.0197497351393362,0.0226329301218556,-4.74264632881268,7.65034903615571,0.143969016834809,0.145695010232716,0.941,0.95,14969045,1e+07
5,"indep",20,20,0,1.26086031145536,0.0188291276463115,0.0189954219563487,1000,1.27023843532181,1.28245389023847,0.00937812386645098,0.0215935787831081,0.0173816910860371,0.0202113958378904,0.0173026161319952,0.0199546245874672,0.0173260747240272,0.0200777229318699,-7.9825945764342,5.69769378120835,0.137470897741739,0.139437115500338,0.942,0.953,14969168,1e+07
0.2,"indep",100,100,0,-2.30258509299405,0.402245344448409,0.108453088122463,653,-2.00665675519822,-1.76766965895346,0.295928337795824,0.534915434040582,109.994558995892,0.338847923009956,0.753006682140132,0.361150554715581,1.83727207541164,0.348201984119583,356.754093184361,221.062304585004,0.699430432298812,0.595133314574681,0.857580398162328,0.908116385911179,8132486,6530000
0.3,"indep",100,100,0,-1.67620360874636,0.38762541696074,0.136791163959272,870,-1.71180400620145,-1.60311904500091,-0.0356003974550916,0.0730845637454491,52301111.398563,0.289304359568599,0.342615391216165,0.306062754614244,0.588175101497313,0.295591979391448,51.7380119469525,116.08996578131,0.623255372061424,0.322981861586737,0.922988505747126,0.947126436781609,11447248,8700000
0.4,"indep",100,100,0,-1.32963001846639,0.204548827771784,0.131170524919649,965,-1.3775054599543,-1.37671432151807,-0.047875441487907,-0.0470843030516834,10.337560910608,0.220076388596334,0.166587330409844,0.215138044429844,0.218345388886189,0.216997006911902,6.74487420177166,65.4312255324343,0.454564536641688,0.334370965256315,0.941968911917098,0.960621761658031,13399911,9650000
0.5,"indep",100,100,0,-1.08141157530944,0.141656082400464,0.112577009559213,994,-1.13154289697432,-1.15948044838022,-0.0501313216648778,-0.0780688730707764,1.14099321229854,0.157141727948724,0.100089642385902,0.13434150857503,0.117493392459759,0.146849050099008,-17.0572908210156,30.4431967716887,0.379508525151986,0.336182640170636,0.943661971830986,0.953722334004024,13927415,9940000
0.6,"indep",100,100,0,-0.885978420965938,0.0848482367727989,0.0875158391349506,1000,-0.921664915445014,-0.955818600797746,-0.0356864944790759,-0.0698401798318086,0.100632711420783,0.106402173947754,0.0662709282231665,0.0809452761959187,0.074597578262284,0.0945186146704847,-12.0811685668419,8.00172357912916,0.29332049779078,0.303818982314725,0.951,0.958,13388595,1e+07
