"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_tried","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
1.4,"indep",5,5,-0.12423067964925,-0.0767956749622904,-0.229598086760879,0.0474350046869594,-0.105367407111629,1.68976287507422,0.3544727576757,108.064265812039,-56.3529799570701,0.626813260642025,0.873320048603715,0.891983825732404,0.818185913970017,1e+10,15993525000,0.00209762839285006,0.00274151989367777,0.0137807753230621,0.000393125102210048,0.00104173673111904,0.0012944189276771,0.11217,0,0.625253032086422
1.6,"indep",5,5,0.0384805205680643,0.0519475385968186,-0.0433517538878331,0.0134670180287543,-0.0818322744558973,1.21458759504465,0.32242497527055,87.9384024801764,-50.1097862193875,0.586769844963187,0.801285905880867,0.904170629280959,0.842001218169967,1e+10,14737580000,0.00191759642876102,0.00252065256532917,0.011016448398414,0.000399453993728608,0.000962223666021825,0.00119229781353924,0.06417,0,0.678537453231806
1.8,"indep",5,5,0.175328435806585,0.175856411453337,0.127497474880756,0.000527975646752388,-0.0478309609258292,0.855544986886307,0.290803464933973,68.5554941440396,-42.7072538766936,0.549183421955762,0.719065098646134,0.911135513679827,0.862818427622787,1e+10,13840785000,0.00176762674556233,0.00226885866238406,0.00864696994856286,0.000396044926619757,0.000915854958720615,0.0011073341422452,0.03471,0,0.722502372517166
2,"indep",5,5,0.29389333245106,0.295122603384692,0.283021986106994,0.00122927093363207,-0.0108713463440657,0.59166547324145,0.260747589693438,50.9716959116265,-33.4666165236537,0.512398534612562,0.633704236719348,0.913643019850309,0.87871176374878,1e+10,13184315000,0.00163400194146151,0.00200366386435849,0.00662412753821493,0.00038201115218807,0.000895737434332296,0.00104106127325212,0.01664,0,0.758477023645142
2.5,"indep",5,5,0.53664724034191,0.558089797971795,0.585625664456397,0.0214425576298855,0.0489784241144867,0.245050243119515,0.195848911454951,21.1139248314295,-3.20340009332876,0.425425406339186,0.455412404774427,0.92298444059272,0.911031850196872,1e+10,12358680000,0.00134488158330405,0.00143179475634573,0.00282410529300881,0.000314837649154255,0.000843912119151754,0.000901145371330326,0.00189,0,0.809147902526807
3,"indep",5,5,0.729307511349758,0.766615078887357,0.795903500708068,0.0373075675375991,0.0665959893583092,0.140986596178614,0.150819954395308,8.84064492052243,16.4319272058516,0.372059953226936,0.366295559609463,0.923662366236624,0.921072107210721,1e+10,12094025000,0.00117069137649914,0.00113902901006991,0.00082190134992495,0.000234357705883515,0.00083974550406597,0.00085267550149064,1e-04,0,0.826854583151598
4,"indep",5,5,1.02706186684777,1.07737334184916,1.09335183822302,0.0503114750013827,0.0662899713752458,0.0962178520019305,0.104819176089099,0.188673508465764,9.14496626266876,0.325341513413294,0.316907015087225,0.92822,0.92872,1e+10,12003980000,0.00101644915761748,0.000979982940020523,8.06338710795918e-05,0.000116857900404361,0.000816257505937924,0.000813628672061156,0,0,0.833057036083032
5,"indep",5,5,1.25479963118919,1.31142533192267,1.31975898724673,0.0566257007334834,0.0649593560575483,0.0824938629668254,0.0876249861113916,-4.23999478864364,1.71628318637815,0.30487393226343,0.300608258747589,0.9301,0.93194,1e+10,12000055000,0.000947325403521031,0.000928151220181999,3.98938202274303e-05,7.18457039063157e-05,0.000806312532458723,0.00079641594911202,0,0,0.833329513906395
0.2,"indep",10,10,NA,-1.12302706325883,-1.27874296194973,NA,NA,5.75047334933563,0.453405970817642,313.083878669101,-67.4296904517053,NA,NA,NA,NA,1e+10,22723565000,NA,NA,0.0375262999922217,0.00017365771944966,NA,NA,0.62297,0,0.440071793312361
0.3,"indep",10,10,NA,-1.06230162684374,-1.2588469110786,NA,NA,5.26083283211274,0.446224222176467,277.338954461006,-67.9940825293961,NA,NA,NA,NA,1e+10,21877070000,NA,NA,0.0341631644432554,0.000197001180660661,NA,NA,0.57027,0,0.457099602460476
0.4,"indep",10,10,NA,-0.982001705339403,-1.21706038089524,NA,NA,4.63498513324832,0.435922013445568,250.96639533881,-66.9914846953122,NA,NA,NA,NA,1e+10,20793320000,NA,NA,0.030349789555024,0.000225472074362614,NA,NA,0.50298,0,0.480923681259174
0.5,"indep",10,10,-1.84443972705697,-0.893569421381221,-1.15330775575717,0.950870305675748,0.6911319712998,4.00225703267812,0.422551201021671,225.590032569975,-65.6247816719891,1.16399895821047,1.08767662386293,0.680849943851769,0.570273020774846,1e+10,19586020000,0.00281228638047641,0.00265590679464854,0.0266717122844863,0.000257521963710138,0.00195261318109722,0.00207362764596416,0.43008,0,0.510568252253393
