"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
1.4,"indep",5,5,-0.12423067964925,-0.0817243910592423,-0.175093409326033,0.0425062885900075,-0.0508627296767833,1.7127879740087,0.33592628381024,110.9428395462,-58.6281283728965,0.627242281596319,0.902476497802999,0.892849136964806,0.817529701860569,907675935,892200000,0.00662565840626393,0.0095397786755934,0.0436513699190662,0.0012475299553254,0.00327458123536145,0.00408899661853281
1.6,"indep",5,5,0.0384805205680643,0.0449820610785467,-0.0072797476391898,0.00650154051048241,-0.0457602682072541,1.27621754196406,0.310016197880159,92.3570413056293,-53.2730144977685,0.590577586982912,0.815773156349327,0.904828176854726,0.840702280269778,950273056,934100000,0.00611050641716837,0.00842774961945076,0.0367631433885816,0.00124486790840488,0.00303627124460489,0.00378642366865939
1.8,"indep",5,5,0.175328435806585,0.176723232925292,0.157113856077329,0.00139479711870666,-0.0182145797292561,0.849116694206215,0.282730371768867,61.0734624415361,-46.3673718477919,0.554691104962619,0.726249514860409,0.911527317880795,0.863617549668874,983396071,966400000,0.00564278936032943,0.00738572668034342,0.0272368975031214,0.0012213256778829,0.0028887567976327,0.00349109376499598
2,"indep",5,5,0.29389333245106,0.298619383375965,0.303192459211302,0.00472605092490547,0.00929912676024225,0.590323753995216,0.255854034920906,49.9401312533453,-35.0139862776901,0.514649168940944,0.627497155890525,0.910572418007741,0.876858830719087,999090558,981800000,0.00519401940515832,0.00633249232850519,0.0209963118892595,0.00118801726470928,0.00287992697509466,0.00331630879505266
2.5,"indep",5,5,0.53664724034191,0.560963198605558,0.592397684614705,0.0243159582636485,0.055750444272795,0.235885852343842,0.194699533332494,25.147438277497,3.29635113032634,0.417600112681872,0.437693495639276,0.919479218828242,0.909364046069104,1016232912,998500000,0.00417225492586797,0.004344761389453,0.00821734023830531,0.000971647323556985,0.00272302052108723,0.00287306274085036
3,"indep",5,5,0.729307511349758,0.766566007652198,0.795885365980401,0.0372584963024396,0.0665778546306424,0.140016749945585,0.150608589000161,10.716968464179,19.0923686290803,0.36901962741839,0.361778437821812,0.925277583274982,0.922876863058918,1017587257,999700000,0.00367207334300166,0.00355670673512409,0.00234405100332823,0.000739047180773393,0.00262982366483601,0.00266826755863693
4,"indep",5,5,1.02706186684777,1.07831646575902,1.09416467873083,0.0512545989112478,0.0671028118830563,0.0960778833032687,0.104674102686401,1.61213362846835,10.7035099434665,0.323148616473221,0.314717151860089,0.9282,0.9271,1018414198,1e+09,0.00319073933809278,0.0030749561568855,0.000252819468275072,0.000365641112089016,0.00258156464184029,0.00259972286984594
5,"indep",5,5,1.25479963118919,1.31300442758904,1.32100121760446,0.0582047963998586,0.0662015864152699,0.0824572653426358,0.0880187581105833,-5.93535509256821,0.409020265969584,0.307711039285894,0.303371215030413,0.9288,0.9315,1018637001,1e+09,0.00302171170226525,0.00296074669781357,0.000125385667760954,0.000228731891492079,0.00257158628087801,0.00252601959612351
0.2,"indep",10,10,NA,-1.13480881969471,-1.57583642794579,NA,NA,5.84357629095296,0.406728154260663,304.837528697686,-71.822251884076,NA,NA,NA,NA,378633158,372100000,NA,NA,0.120538700785651,0.00105924830738621,NA,NA
0.3,"indep",10,10,NA,-1.05451104257544,-1.44828860247723,NA,NA,5.17634950387215,0.397396928250564,262.592975383297,-72.1631364893801,NA,NA,NA,NA,433583717,426200000,NA,NA,0.108385926068014,0.00109968195868996,NA,NA
0.4,"indep",10,10,NA,-0.967627774565925,-1.30415134921676,NA,NA,4.41533172940441,0.388898741484802,247.148288461175,-69.4234678694538,NA,NA,NA,NA,509247402,500400000,NA,NA,0.0928911592525373,0.00107082039864003,NA,NA
0.5,"indep",10,10,-1.84443972705697,-0.894676438617209,-1.19423233135523,0.94976328843976,0.650207395701739,3.99150310717131,0.37839623288712,225.838714407398,-69.1103479691592,1.1625169676107,1.2835691902681,0.687097335887167,0.572000696500087,584809784,574300000,0.00884672882607645,0.0146048629480441,0.0838281756016156,0.00110500956913466,0.00611849140917416,0.00652905612354834
