"design","n1","n2","r","theta","lnM_true","delta_var_cap","delta_var_capped_rate","delta_var_capped_n","bias_PI","bias_BC","Var_MC_PI","Var_MC_BC","Var_delta_bar","Var_SAFE_bar","rb_delta_PI","rb_delta_BC","rb_SAFE_PI","rb_SAFE_BC","cover_PI","cover_BC","rmse_PI","rmse_BC","PI_valid_rate","SAFE_kept_rate","SAFE_status_ok","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","facet_label"
"indep",5,5,NA,0.7,-0.703248534218705,20,0,0,NA,0.351303326030834,NA,0.133545765046739,NA,0.460145123056347,NA,NA,NA,244.559876455313,NA,0.935,NA,0.506252963548691,0,0.45615814487359,1,NA,-0.351945208187871,NA,0.351303326030834,NA,0.460145123056347,NA,244.559876455313,NA,0.506252963548691,NA,0.935,"indep n1=5 n2=5"
"indep",10,10,NA,0.7,-0.703248534218705,20,0,0,NA,0.072720704807614,NA,0.149520620710883,NA,0.377033188960854,NA,NA,NA,152.161332108094,NA,0.945,NA,0.392506456653958,0,0.468379980030099,1,NA,-0.630527829411091,NA,0.072720704807614,NA,0.377033188960854,NA,152.161332108094,NA,0.392506456653958,NA,0.945,"indep n1=10 n2=10"
"indep",20,20,NA,0.7,-0.703248534218705,20,0,0,NA,-0.0833621229601212,NA,0.145417630206761,NA,0.301828190630091,NA,NA,NA,107.559558081739,NA,0.965,NA,0.38940953455218,0,0.50135829676473,1,NA,-0.786610657178826,NA,-0.0833621229601212,NA,0.301828190630091,NA,107.559558081739,NA,0.38940953455218,NA,0.965,"indep n1=20 n2=20"
"indep",100,100,NA,0.7,-0.703248534218705,20,0,0,NA,-0.0475848837568853,NA,0.0532269275215415,NA,0.0643872507718877,NA,NA,NA,20.9674384188895,NA,0.97,NA,0.23500024265113,0,0.8825,1,NA,-0.75083341797559,NA,-0.0475848837568853,NA,0.0643872507718877,NA,20.9674384188895,NA,0.23500024265113,NA,0.97,"indep n1=100 n2=100"
"indep",3,7,NA,0.7,-0.703248534218705,20,0,0,NA,0.406726802467817,NA,0.149970460492951,NA,0.458498010875811,NA,NA,NA,205.725547130238,NA,0.925,NA,0.560934309911758,0,0.440384637343313,1,NA,-0.296521731750888,NA,0.406726802467817,NA,0.458498010875811,NA,205.725547130238,NA,0.560934309911758,NA,0.925,"indep n1=3 n2=7"
"indep",6,14,NA,0.7,-0.703248534218705,20,0,0,NA,0.0915163263893197,NA,0.172506048977171,NA,0.386725343843709,NA,NA,NA,124.180743885037,NA,0.92,NA,0.424286173152133,0,0.458678681169279,1,NA,-0.611732207829385,NA,0.0915163263893197,NA,0.386725343843709,NA,124.180743885037,NA,0.424286173152133,NA,0.92,"indep n1=6 n2=14"
"indep",12,28,NA,0.7,-0.703248534218705,20,0,0,NA,-0.100821329531,NA,0.149501270534688,NA,0.326044261604631,NA,NA,NA,118.087953659886,NA,0.965,NA,0.39864608949595,0,0.493180374728682,1,NA,-0.804069863749705,NA,-0.100821329531,NA,0.326044261604631,NA,118.087953659886,NA,0.39864608949595,NA,0.965,"indep n1=12 n2=28"
"indep",40,160,NA,0.7,-0.703248534218705,20,0,0,NA,-0.130197731290012,NA,0.101044338936997,NA,0.132363597272391,NA,NA,NA,30.9955596373605,NA,0.975,NA,0.342768969533968,0,0.641623640201331,1,NA,-0.833446265508717,NA,-0.130197731290012,NA,0.132363597272391,NA,30.9955596373605,NA,0.342768969533968,NA,0.975,"indep n1=40 n2=160"
"indep",5,5,NA,0.8,-0.569717141594182,20,0,0,NA,0.227523701401824,NA,0.123011403596313,NA,0.456381453513598,NA,NA,NA,271.007435222273,NA,0.965,NA,0.417328864659417,0,0.452684714461139,1,NA,-0.342193440192358,NA,0.227523701401824,NA,0.456381453513598,NA,271.007435222273,NA,0.417328864659417,NA,0.965,"indep n1=5 n2=5"
"indep",10,10,NA,0.8,-0.569717141594182,20,0,0,NA,0.0270609441047004,NA,0.166206431452627,NA,0.350385456474793,NA,NA,NA,110.81341643188,NA,0.96,NA,0.407563116573619,0,0.478541204981502,1,NA,-0.542656197489482,NA,0.0270609441047004,NA,0.350385456474793,NA,110.81341643188,NA,0.407563116573619,NA,0.96,"indep n1=10 n2=10"
