"theta","design","n1","n2","rho","true_lnM","delta_bias","rmse_delta","safe_bias_mean","rmse_mean","safe_bias_med","rmse_med","safe_bias_mode","rmse_mode","relbias_delta","relbias_safe","cover_delta","cover_safe","boot_keep","boot_total"
4,"indep",6,14,0,1.03222437854685,0.0230024392398192,0.216392896323113,0.0326509130742576,0.222316448590713,0.0169331351498427,0.215093165599563,-0.00455145638299959,0.208240174252449,-5.66193529661212,8.09711618506255,0.934,0.947,14070149,1e+07
5,"indep",6,14,0,1.25807959664605,0.0186863174256577,0.206287003933911,0.0316662943974464,0.209781268794635,0.0116899228923781,0.204827130786171,-0.017439528755625,0.200936745114358,-10.1772360251827,6.68253420275868,0.928,0.947,14069232,1e+07
0.2,"indep",12,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,823.283709257696,449.528118219813,NA,NA,4975536,4150000
0.3,"indep",12,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,583.932670645128,253.03510375241,NA,NA,5972618,4860000
0.4,"indep",12,28,0,-1.94424625400898,0.747563681408056,0.991869331751098,1.05302939923531,1.08722211718199,1.15120833001567,1.17969342963728,1.30518068104099,1.3252205879824,578.432729298592,238.476341807982,0.739285714285714,0.678571428571429,6891670,5600000
0.5,"indep",12,28,0,-1.36303435330244,0.314704569879346,0.707121625285149,0.537112179930716,0.610267958531633,0.632258323649869,0.689114511930557,0.778686958876484,0.815501906568621,276.579841746326,171.496342152609,0.824817518248175,0.878832116788321,8608099,6850000
0.6,"indep",12,28,0,-1.058151567492,0.105678685831179,0.631664099244842,0.282367769990943,0.415584671580755,0.375004796502078,0.4724051557207,0.512042667029168,0.571611493374894,175.17004815611,138.340777702411,0.897233201581028,0.932806324110672,9682120,7590000
0.7,"indep",12,28,0,-0.842414379200356,0.0338562312652307,0.577832634910694,0.151642341587347,0.365433122271584,0.238654708947527,0.391450515139668,0.368654035040867,0.457710771777337,100.504698131294,93.1210004104742,0.892729439809297,0.924910607866508,11009026,8390000
0.8,"indep",12,28,0,-0.672621910644767,-0.0371862838360673,0.549245721693989,0.0435896907627957,0.339032212269971,0.126824093603415,0.337511469952342,0.247109604004111,0.369376297080444,57.8182731576781,96.2505901705954,0.929978118161926,0.948577680525164,12223543,9140000
0.9,"indep",12,28,0,-0.531415775693636,-0.0460956196586593,0.490672504510496,-0.00984659296193913,0.340436490528396,0.0671219111723332,0.321242289471603,0.178639444384453,0.325344720888893,32.1258201901493,83.5251717545925,0.935991605456453,0.952780692549843,13010467,9530000
1,"indep",12,28,0,-0.409949443099545,-0.023750661638976,0.491166598731148,-0.00825872447515524,0.369342775487928,0.058512479936755,0.344960681242293,0.155262086382676,0.333163276012454,-12.3356113090143,35.0238385233406,0.907867494824017,0.93167701863354,13502081,9660000
1.5,"indep",12,28,0,0.0317109132187481,-0.0216886076325865,0.290700543382211,-0.0443888826264095,0.30292019893409,-0.0116754013777253,0.275784328090829,0.034067958820133,0.24633869406444,-3.62036332260757,13.445823438659,0.941,0.951,14725333,1e+07
